Country Name,Country Code,Rural Population (as % of Total Population) in 2017
Antigua and Barbuda,ATG,75.287
Burundi,BDI,87.294
Cambodia,KHM,77.02
Chad,TCD,77.142
Eswatini,SWZ,76.375
Ethiopia,ETH,79.69
Liechtenstein,LIE,85.685
Malawi,MWI,83.286
"Micronesia, Fed. Sts.",FSM,77.392
Nepal,NPL,80.664
Niger,NER,83.65
Papua New Guinea,PNG,86.898
Rwanda,RWA,82.875
Samoa,WSM,81.548
Solomon Islands,SLB,76.714
South Sudan,SSD,80.654
Sri Lanka,LKA,81.616
St. Lucia,LCA,81.388
Tonga,TON,76.831
Uganda,UGA,76.804
